Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,Car_ID,Brand,Car_Age,Price_Per_Km,Mileage_kmkg,Mileage_kmpl,Fuel_Efficiency,Engine_In_CC,Car_Type,Power_In_BHP
Mahindra Ssangyong Rexton Rx7,Bangalore,2013,72000,Diesel,Automatic,Second,7,,12.5,CJL8,Mahindra,12,0.0001736,,11.18,medium,2696.0,Luxury Car,184.0
Audi A6 2.7 Tdi,Kolkata,2010,35000,Diesel,Automatic,First,5,,11.5,SFPI,Audi,15,0.0003286,,12.4,medium,2698.0,Luxury Car,179.5
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,5,12.33 Lakh,6.98,SHVY,Volkswagen,11,0.0001259,,16.09,high,1598.0,Sedan,103.5
Maruti Wagon R Lxi Bsiii,Jaipur,2009,83816,Petrol,Manual,Second,5,,1.85,5K9Q,Maruti,16,2.21e-05,,14.0,medium,1061.0,Hatchback,64.0
Maruti Vitara Brezza Zdi Plus,Kochi,2018,50075,Diesel,Manual,First,5,11.12 Lakh,8.63,657D,Maruti,7,0.0001723,,24.3,high,1248.0,Sedan,88.5
Mahindra Kuv 100 Mfalcon G80 K6 5Str Aw,Delhi,2017,52000,Petrol,Manual,First,5,,4.85,834A,Mahindra,8,9.33e-05,,18.15,high,1198.0,Hatchback,82.0
Mercedes-Benz M-Class Ml 350 Cdi,Pune,2013,85000,Diesel,Automatic,First,5,,28.0,B8MS,Mercedes-Benz,12,0.0003294,,11.74,medium,2987.0,Luxury Car,254.8
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,5,,5.0,7IIV,Volkswagen,12,8.06e-05,,22.07,high,1199.0,Hatchback,73.9
Maruti Alto Lxi,Delhi,2008,90000,Petrol,Manual,Second,5,,1.25,5FQD,Maruti,17,1.39e-05,,19.7,high,796.0,Hatchback,46.3
Tata Nano Lx Se,Kochi,2014,19698,Petrol,Manual,First,4,,1.53,EATX,Tata,11,7.77e-05,,25.4,high,624.0,Hatchback,37.5
Mahindra Kuv 100 Mfalcon D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,6,,5.58,B7NJ,Mahindra,8,0.0002533,,25.32,high,1198.0,Hatchback,77.0
Hyundai I20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,5,,4.74,X7JQ,Hyundai,11,0.0001336,,18.5,high,1197.0,Hatchback,82.9
Hyundai Elantra 2.0 Sx Option At,Bangalore,2014,46374,Petrol,Automatic,First,5,23.64 Lakh,8.85,56BN,Hyundai,11,0.0001908,,14.62,medium,1999.0,SUV,149.92
Toyota Corolla Altis G At,Mumbai,2016,52001,Petrol,Automatic,First,5,,10.11,URPK,Toyota,9,0.0001944,,14.28,medium,1798.0,SUV,138.03
Hyundai Elantra Crdi,Ahmedabad,2008,58005,Diesel,Manual,Second,5,,4.25,UXG3,Hyundai,17,7.33e-05,,14.9,medium,1991.0,SUV,112.2
Toyota Innova Crysta 2.7 Gx Mt,Bangalore,2012,70704,Petrol,Manual,First,7,18.64 Lakh,10.95,4WQE,Toyota,13,0.0001549,,11.25,medium,2694.0,Luxury Car,163.7
Hyundai Xcent 1.1 Crdi S,Jaipur,2014,75000,Diesel,Manual,First,5,,3.85,W8DQ,Hyundai,11,5.13e-05,,24.4,high,1120.0,Hatchback,71.0
Mahindra Thar Crde Ac,Jaipur,2012,75800,Diesel,Manual,Second,6,,5.5,8PJU,Mahindra,13,7.26e-05,,16.55,high,2498.0,SUV,105.0
Audi A4 2.0 Tdi 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,5,,21.43,DMT7,Audi,10,0.0015702,,17.11,high,1968.0,SUV,174.33
Maruti Swift Ldi,Delhi,2014,52000,Diesel,Manual,First,5,,4.25,3TIU,Maruti,11,8.17e-05,,22.9,high,1248.0,Sedan,74.0
Maruti Swift Ldi Bsiv,Kolkata,2014,53000,Diesel,Manual,First,5,,3.3,3DBL,Maruti,11,6.23e-05,,17.8,high,1248.0,Sedan,75.0
Maruti Swift Vdi,Delhi,2013,65650,Diesel,Manual,First,5,,3.85,2HWX,Maruti,12,5.86e-05,,28.4,high,1248.0,Sedan,74.0
Hyundai Grand I10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,5,,3.6,P49V,Hyundai,10,6.67e-05,,18.9,high,1197.0,Hatchback,82.0
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,5,,3.99,Q86A,Volkswagen,10,0.0001023,,15.04,high,1598.0,Sedan,103.2
Renault Kwid Rxt,Kochi,2017,16542,Petrol,Manual,First,5,,3.3,P20U,Renault,8,0.0001995,,25.17,high,799.0,Hatchback,53.3
Hyundai I10 Asta,Kolkata,2010,32000,Petrol,Manual,First,5,,2.07,JSIJ,Hyundai,15,6.47e-05,,20.36,high,1197.0,Hatchback,78.9
Nissan X-Trail Slx At,Hyderabad,2010,121812,Diesel,Automatic,First,5,,7.75,NAQ5,Nissan,15,6.36e-05,,13.29,medium,1995.0,SUV,147.6
Maruti Zen Estilo Vxi Bsiii,Hyderabad,2010,39300,Petrol,Manual,First,5,,2.25,DJAW,Maruti,15,5.73e-05,,18.2,high,998.0,Hatchback,67.1
Toyota Innova Crysta 2.4 Gx Mt 8S,Mumbai,2017,22000,Diesel,Manual,First,8,19.34 Lakh,16.5,UZ6P,Toyota,8,0.00075,,13.68,medium,2393.0,SUV,147.8
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,5,,2.75,IID8,Ford,15,3.82e-05,,20.0,high,1399.0,Sedan,68.0
Mercedes-Benz New C-Class C 200 Cgi Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,5,,26.7,MZWF,Mercedes-Benz,10,0.0004603,,11.74,medium,1796.0,SUV,186.0
Mercedes-Benz New C-Class 200 Cdi Classic,Pune,2011,65000,Diesel,Manual,Second,5,,10.0,5NKC,Mercedes-Benz,14,0.0001538,,15.8,high,2148.0,SUV,170.0
Tata Indica V2 Els,Chennai,2016,178000,Diesel,Manual,First,5,,2.5,KD15,Tata,9,1.4e-05,,25.0,high,1396.0,Sedan,69.0
Audi A4 2.0 Tdi Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,5,,13.5,F6LM,Audi,13,0.0002056,,16.55,high,1968.0,SUV,140.0
Honda City Zx Cvt,Mumbai,2007,63000,Petrol,Automatic,Second,5,,1.85,8YFV,Honda,18,2.94e-05,,16.4,high,1497.0,Sedan,78.0
Mercedes-Benz C-Class Progressive C 220D,Coimbatore,2019,15369,Diesel,Automatic,First,5,49.14 Lakh,35.67,WXUH,Mercedes-Benz,6,0.0023209,,17.809450853714814,high,1950.0,SUV,194.0
Maruti Ertiga Shvs Vdi,Pune,2016,63000,Diesel,Manual,First,7,,8.15,Q2SR,Maruti,9,0.0001294,,24.52,high,1248.0,Sedan,88.5
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,5,11.81 Lakh,10.5,OAXA,Hyundai,7,0.0008077,,22.1,high,1396.0,Sedan,88.7
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,5,,14.5,JF7M,Porsche,17,0.0001986,,8.5,low,4806.0,Sports Car,500.0
Mahindra Xuv500 W8 4Wd,Mumbai,2015,55729,Diesel,Manual,First,7,,9.65,HAXU,Mahindra,10,0.0001732,,15.1,high,2179.0,SUV,140.0
Hyundai I10 Sportz 1.2 At,Kochi,2012,45178,Petrol,Automatic,First,5,,3.48,E42T,Hyundai,13,7.7e-05,,16.95,high,1197.0,Hatchback,78.9
Nissan Terrano Xv D Pre,Kochi,2015,56066,Diesel,Manual,First,5,16.65 Lakh,6.92,Z9X9,Nissan,10,0.0001234,,19.64,high,1461.0,Sedan,108.5
Honda Brio Vx At,Coimbatore,2016,37300,Petrol,Automatic,Second,5,,6.46,PC6H,Honda,9,0.0001732,,16.5,high,1198.0,Hatchback,86.8
Audi A6 2.0 Tdi Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,5,,29.5,XEWO,Audi,11,0.0005268,,18.53,high,1968.0,SUV,187.74
Ford Fiesta 1.4 Sxi Tdci,Jaipur,2008,111111,Diesel,Manual,First,5,,2.0,2YAM,Ford,17,1.8e-05,,17.8,high,1399.0,Sedan,127.9431071655041
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,8,,4.5,D7UR,Toyota,19,1.96e-05,,12.4,medium,1998.0,SUV,132.0
Toyota Innova 2.5 Vx 7 Str Bsiv,Hyderabad,2012,104000,Diesel,Manual,First,7,,11.75,OQO1,Toyota,13,0.000113,,12.8,medium,2494.0,SUV,102.0
Hyundai Santro Xing Xl,Hyderabad,2005,87591,Petrol,Manual,First,5,,1.3,42GJ,Hyundai,20,1.48e-05,,18.26422256432813,high,1086.0,Hatchback,97.10749623493976
Maruti Swift Vdi,Jaipur,2012,95100,Diesel,Manual,First,5,,3.75,BSMY,Maruti,13,3.94e-05,,22.9,high,1248.0,Sedan,74.0
Tata Zest Revotron 1.2T Xe,Pune,2017,70000,Petrol,Manual,First,5,6.67 Lakh,4.5,NQJQ,Tata,8,6.43e-05,,17.57,high,1193.0,Hatchback,88.7
Honda Amaze Sx I-Vtec,Kochi,2016,54944,Petrol,Manual,First,5,,4.82,GXU6,Honda,9,8.77e-05,,18.0,high,1198.0,Hatchback,86.7
Ford Figo Diesel Zxi,Hyderabad,2012,70337,Diesel,Manual,First,5,,2.8,WQQ3,Ford,13,3.98e-05,,20.0,high,1399.0,Sedan,68.0
Maruti Ritz Vdi,Jaipur,2013,99638,Diesel,Manual,First,5,,3.11,1181,Maruti,12,3.12e-05,,23.2,high,1248.0,Sedan,73.94
Honda City I Vtec E,Delhi,2009,52000,Petrol,Manual,First,5,,3.25,SP04,Honda,16,6.25e-05,,17.8,high,1497.0,Sedan,117.3
Bmw 5 Series 2003-2012 525D,Delhi,2011,75000,Diesel,Automatic,Second,5,,13.9,B595,Bmw,14,0.0001853,,16.73,high,1995.0,SUV,218.0
Hyundai I10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,5,,2.25,10KI,Hyundai,16,2.34e-05,,20.36,high,1197.0,Hatchback,78.9
Hyundai Grand I10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,5,,5.75,Y72K,Hyundai,9,0.0003594,,18.9,high,1197.0,Hatchback,82.0
Hyundai Santro Xing Xo,Hyderabad,2007,73745,Petrol,Manual,First,5,,2.1,7XNF,Hyundai,18,2.85e-05,,17.0,high,1086.0,Hatchback,97.10749623493976
Honda Amaze Sx I-Vtec,Mumbai,2016,18949,Petrol,Manual,First,5,,5.0,V9CO,Honda,9,0.0002639,,17.8,high,1198.0,Hatchback,86.7
Toyota Fortuner 4X2 Manual,Delhi,2014,107000,Diesel,Manual,First,7,,16.5,OI6M,Toyota,11,0.0001542,,13.0,medium,2982.0,Luxury Car,168.5
Audi A6 2011-2015 35 Tdi Premium,Coimbatore,2018,48367,Diesel,Automatic,First,5,,39.58,3DVK,Audi,7,0.0008183,,17.68,high,1968.0,SUV,174.33
Ford Ecosport 1.5 Dv5 Mt Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,5,,5.5,K8EW,Ford,12,9.65e-05,,22.7,high,1498.0,Sedan,89.84
Mahindra Xuv500 W8 2Wd,Delhi,2014,58000,Diesel,Manual,First,7,,8.1,2RWQ,Mahindra,11,0.0001397,,15.1,high,2179.0,SUV,140.0
Honda Amaze Sx I-Dtec,Kolkata,2015,30000,Diesel,Manual,First,5,,3.5,EEFF,Honda,10,0.0001167,,25.8,high,1498.0,Sedan,98.6
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,5,,2.79,B3ND,Volkswagen,12,8.16e-05,,22.07,high,1199.0,Hatchback,73.9
Hyundai Verna Transform Sx Vgt Crdi,Ahmedabad,2010,70002,Diesel,Manual,First,5,,3.45,RZXH,Hyundai,15,4.93e-05,,16.2,high,1493.0,Sedan,110.0
Maruti Wagon R Vxi Bs Iv,Bangalore,2016,62000,Petrol,Manual,First,5,,4.45,KLE0,Maruti,9,7.18e-05,,18.9,high,998.0,Hatchback,67.1
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,5,,2.65,R5XL,Volkswagen,15,4.27e-05,,15.26,high,1598.0,Sedan,103.5
Hyundai I20 1.4 Crdi Sportz,Pune,2011,78958,Diesel,Manual,Second,5,,3.8,KTQZ,Hyundai,14,4.81e-05,,23.0,high,1396.0,Sedan,90.0
Hyundai I20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,5,,4.65,4WNP,Hyundai,11,0.0001541,,18.5,high,1197.0,Hatchback,82.85
Datsun Go Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,7,6.45 Lakh,3.95,UP2C,Datsun,8,0.0001202,,19.83,high,1198.0,Hatchback,67.0
Audi A4 3.0 Tdi Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,5,,9.8,E36D,Audi,15,0.0003267,,14.94,medium,2967.0,Luxury Car,241.4
Hyundai I20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,5,,2.7,U9NM,Hyundai,16,4.09e-05,,17.0,high,1197.0,Hatchback,80.0
Maruti Omni 5 Str Std,Coimbatore,2010,93850,Petrol,Manual,First,5,,2.41,WJ45,Maruti,15,2.57e-05,,14.0,medium,796.0,Hatchback,35.0
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,5,6.41 Lakh,3.9,VDZ2,Toyota,11,7.36e-05,,17.71,high,1197.0,Hatchback,78.9
Jaguar Xf 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,5,,24.0,F6DO,Jaguar,14,0.0003077,,14.74,medium,2993.0,Luxury Car,270.9
Mahindra Xuv500 W8 2Wd,Delhi,2012,65000,Diesel,Manual,Second,7,,5.75,KUJJ,Mahindra,13,8.85e-05,,16.0,high,2179.0,SUV,140.0
Hyundai Verna 1.6 Sx Crdi (O) At,Kolkata,2014,40000,Diesel,Automatic,First,5,,5.25,V23Z,Hyundai,11,0.0001312,,22.32,high,1582.0,Sedan,126.32
Toyota Innova Crysta 2.8 Zx At,Mumbai,2017,30000,Diesel,Automatic,First,7,27 Lakh,19.25,ERI1,Toyota,8,0.0006417,,11.36,medium,2755.0,Luxury Car,171.5
Maruti Eeco 5 Seater Ac,Coimbatore,2017,38053,Petrol,Manual,First,5,5.13 Lakh,3.91,TPW9,Maruti,8,0.0001028,,15.1,high,1196.0,Hatchback,73.0
Tata Nano Twist Xt,Bangalore,2014,25500,Petrol,Manual,First,4,,2.15,WW7I,Tata,11,8.43e-05,,25.4,high,624.0,Hatchback,37.5
Bmw 3 Series 320D Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,5,54.43 Lakh,20.75,25UE,Bmw,10,0.00037,,22.69,high,1995.0,SUV,190.0
Honda Civic 2006-2010 1.8 V Mt,Delhi,2010,71088,Petrol,Manual,First,5,,3.35,GEMA,Honda,15,4.71e-05,,13.5,medium,1799.0,SUV,130.0
Toyota Innova 2.5 Vx (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,7,,11.11,84XS,Toyota,11,0.000202,,12.99,medium,2494.0,SUV,100.6
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,5,,20.0,2ZNL,Volvo,11,0.0006116,,23.3,high,1984.0,SUV,150.0
Nissan Micra Xv Cvt,Coimbatore,2016,39882,Petrol,Automatic,First,5,9.51 Lakh,6.55,CMCG,Nissan,9,0.0001642,,19.15,high,1198.0,Hatchback,75.94
Bmw 5 Series 2010-2013 525I,Mumbai,2009,128000,Petrol,Automatic,First,5,,7.0,1I5O,Bmw,16,5.47e-05,,10.8,medium,2497.0,SUV,215.0
Maruti Vitara Brezza Vdi,Mumbai,2016,55000,Diesel,Manual,First,5,9.96 Lakh,7.5,FY4Z,Maruti,9,0.0001364,,24.3,high,1248.0,Sedan,88.5
Hyundai Santro Xing Xl Erlx Euro Iii,Mumbai,2005,102000,Petrol,Manual,Second,5,,0.85,QJV4,Hyundai,20,8.3e-06,,17.0,high,1086.0,Hatchback,97.10749623493976
Mercedes-Benz B Class B200 Cdi,Pune,2014,53753,Diesel,Automatic,Second,5,,16.75,K58W,Mercedes-Benz,11,0.0003116,,15.0,medium,2143.0,SUV,107.3
Hyundai Verna Crdi 1.6 Sx Option,Kolkata,2018,10250,Diesel,Manual,First,5,14.44 Lakh,10.95,KAL9,Hyundai,7,0.0010683,,22.0,high,1582.0,Sedan,126.2
Maruti Wagon R Lxi Bs Iv,Pune,2011,43874,Petrol,Manual,First,5,,2.45,GCDD,Maruti,14,5.58e-05,,18.9,high,998.0,Hatchback,67.1
Tata Nano Xta,Coimbatore,2017,32684,Petrol,Automatic,First,4,,3.23,KBUJ,Tata,8,9.88e-05,,21.9,high,624.0,Hatchback,37.48
Mahindra Scorpio Vlx,Kolkata,2014,42000,Diesel,Manual,First,8,,7.75,JQ2D,Mahindra,11,0.0001845,,12.05,medium,2179.0,SUV,120.0
Mercedes-Benz New C-Class 200 K At,Kolkata,2009,28352,Petrol,Automatic,First,5,,9.35,7DPV,Mercedes-Benz,16,0.0003298,,11.7,medium,1796.0,SUV,178.0
Maruti Wagon R Lxi Cng,Pune,2013,89900,CNG,Manual,First,5,,3.25,ELZB,Maruti,12,3.62e-05,26.6,,high,998.0,Hatchback,58.16
Honda Cr-V 2.4 Mt,Bangalore,2007,47700,Petrol,Manual,Second,5,,5.25,3XU5,Honda,18,0.0001101,,10.8,medium,2354.0,SUV,152.0
Volkswagen Vento 1.5 Tdi Comfortline At,Pune,2015,55000,Diesel,Automatic,First,5,,7.25,6RMU,Volkswagen,10,0.0001318,,21.21,high,1498.0,Sedan,103.2
Maruti Ciaz Vxi Plus,Kochi,2017,44285,Petrol,Manual,First,5,,7.47,SNAI,Maruti,8,0.0001687,,20.73,high,1373.0,Sedan,91.1
Mahindra Xuv500 At W10 Fwd,Jaipur,2016,54000,Diesel,Automatic,First,7,,13.25,JTQB,Mahindra,9,0.0002454,,16.0,high,2179.0,SUV,140.0
Maruti Ritz Vxi Abs,Coimbatore,2016,30232,Petrol,Manual,First,5,,5.81,OST5,Maruti,9,0.0001922,,21.1,high,1197.0,Hatchback,85.8
Maruti Alto K10 Vxi,Hyderabad,2014,88500,Petrol,Manual,First,5,4.53 Lakh,2.6,69KZ,Maruti,11,2.94e-05,,24.07,high,998.0,Hatchback,67.1
Mercedes-Benz Slc 43 Amg,Kolkata,2017,13372,Petrol,Automatic,First,2,95.04 Lakh,54.0,19TX,Mercedes-Benz,8,0.0040383,,19.0,high,2996.0,Luxury Car,362.07
Hyundai Verna Vtvt 1.6 At Sx Plus,Kochi,2019,12645,Petrol,Automatic,First,5,13.49 Lakh,11.5,9ZVS,Hyundai,6,0.0009095,,17.0,high,1591.0,Sedan,121.3
Maruti Alto Lxi Bsiii,Chennai,2010,94385,Petrol,Manual,Second,5,,1.6,412S,Maruti,15,1.7e-05,,19.7,high,796.0,Hatchback,46.3
Bmw 1 Series 118D Base,Coimbatore,2015,31821,Diesel,Automatic,First,5,,17.22,U2FD,Bmw,10,0.0005412,,20.58,high,1995.0,SUV,143.0
Honda Jazz 1.2 V Cvt I Vtec,Mumbai,2015,12000,Petrol,Automatic,First,5,,6.0,CBNX,Honda,10,0.0005,,19.0,high,1199.0,Hatchback,88.7
Honda Civic 2006-2010 1.8 V Mt,Delhi,2012,88578,Petrol,Manual,First,5,,3.95,IXEN,Honda,13,4.46e-05,,13.5,medium,1799.0,SUV,130.0
Mercedes-Benz New C-Class C 220 Cdi Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,5,,17.95,8G34,Mercedes-Benz,11,0.0003992,,19.27,high,2143.0,SUV,170.0
Honda Amaze Sx I-Dtec,Kolkata,2014,45044,Diesel,Manual,First,5,,3.7,7FFQ,Honda,11,8.21e-05,,25.8,high,1498.0,Sedan,98.6
Maruti Swift Vvt Vxi,Kochi,2016,34204,Petrol,Manual,First,5,,5.43,0D6T,Maruti,9,0.0001588,,22.0,high,1197.0,Hatchback,81.8
Hyundai Santro Xing Xo Erlx Euro Ii,Kochi,2008,80759,Petrol,Manual,Third,5,,1.67,BSD7,Hyundai,17,2.07e-05,,17.0,high,1086.0,Hatchback,97.10749623493976
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,7,,13.49,K3B1,Toyota,13,0.0001479,,11.5,medium,2982.0,Luxury Car,171.0
Chevrolet Beat Lt Option,Pune,2014,38800,Petrol,Manual,First,5,,2.85,8GJZ,Chevrolet,11,7.35e-05,,18.6,high,1199.0,Hatchback,76.8
Skoda Rapid 1.5 Tdi Elegance,Chennai,2013,83000,Diesel,Manual,First,5,,4.75,YAAG,Skoda,12,5.72e-05,,21.14,high,1498.0,Sedan,103.52
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,5,,9.9,1TWQ,Maruti,7,0.0002398,,20.73,high,1373.0,Sedan,91.1
Audi Rs5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,4,1.28 Cr,37.0,VMF9,Audi,12,0.0016087,,11.05,medium,2894.0,Luxury Car,444.0
Bmw 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,5,60.88 Lakh,26.5,QPBV,Bmw,11,0.0005521,,21.76,high,1995.0,SUV,190.0
Audi A4 2.0 Tdi 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,5,,23.32,JQS9,Audi,10,0.0004837,,17.11,high,1968.0,SUV,174.33
